Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2025-01-31T23:59:59Z
User Bounding Box:,"90.1,23.5,90.8,24.1"
Data Bounding Box:,"90.625,23.5,90.625,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2025-01-31T23:59:59Z&bbox=90.1,23.5,90.8,24.1&data=M2T1NXAER_5_12_4_TOTSMASS25%2CM2T1NXAER_5_12_4_TOTEXTTAU%2CM2T1NXAER_5_12_4_TOTCMASS25&dataKeyword=AOD&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2T1NXAER_5_12_4_TOTSMASS25
2018-01-20 09:30:00,7.16414414e-08
2018-01-20 10:30:00,7.56918591e-08
2018-01-20 11:30:00,7.9848673e-08
2018-01-20 12:30:00,8.42893342e-08
2018-01-20 13:30:00,8.90778983e-08
2018-01-20 14:30:00,9.38902512e-08
2018-01-20 15:30:00,9.82753565e-08
2018-01-20 16:30:00,1.0165576e-07
2018-01-20 17:30:00,1.03999422e-07
2018-01-20 18:30:00,1.05384705e-07
2018-01-20 19:30:00,1.05941668e-07
2018-01-20 20:30:00,1.05835097e-07
2018-01-20 21:30:00,1.05345037e-07
2018-01-20 22:30:00,1.04828907e-07
2018-01-20 23:30:00,1.04433766e-07
2018-01-21 00:30:00,1.04166423e-07
2018-01-21 01:30:00,1.03430146e-07
2018-01-21 02:30:00,1.00131095e-07
2018-01-21 03:30:00,9.67013701e-08
2018-01-21 04:30:00,9.48223137e-08
2018-01-21 05:30:00,9.15454425e-08
2018-01-21 06:30:00,9.60186772e-08
2018-01-21 07:30:00,9.66332735e-08
2018-01-21 08:30:00,9.83474772e-08
2018-01-21 09:30:00,1.14183647e-07
2018-01-21 10:30:00,1.18521141e-07
2018-01-21 11:30:00,1.24361198e-07
2018-01-21 12:30:00,1.30789745e-07
2018-01-21 13:30:00,1.37300227e-07
2018-01-21 14:30:00,1.43253554e-07
2018-01-21 15:30:00,1.47895522e-07
2018-01-21 16:30:00,1.50887495e-07
